id,gora,višina,priljubljenost,gorovje
1155,Lovski dom pod Glavico,610,43,"Goriško, Notranjsko in Snežniško hribovje"
867,Stjenkova koča na Trstelju,610,77,"Goriško, Notranjsko in Snežniško hribovje"
541,Sabotin,609,95,"Goriško, Notranjsko in Snežniško hribovje"
1207,Vitovski hrib,604,58,"Goriško, Notranjsko in Snežniško hribovje"
1164,Stari tabor,603,68,"Goriško, Notranjsko in Snežniško hribovje"
1954,Unška koliševka,594,70,"Goriško, Notranjsko in Snežniško hribovje"
1165,Zidovnik (Sedovnik),575,46,"Goriško, Notranjsko in Snežniško hribovje"
1663,Sveti Tomaž (Planinca),572,51,"Goriško, Notranjsko in Snežniško hribovje"
555,Soteska Pekel 5. slap,570,69,"Goriško, Notranjsko in Snežniško hribovje"
1423,Stolovec,563,40,"Goriško, Notranjsko in Snežniško hribovje"
2738,Sveta Ana (Razguri),560,16,"Goriško, Notranjsko in Snežniško hribovje"
865,Dom na Sabotinu,560,83,"Goriško, Notranjsko in Snežniško hribovje"
2737,Sveti Socerb (Vipavska brda),555,23,"Goriško, Notranjsko in Snežniško hribovje"
2505,Stari grad nad Želimljami,555,15,"Goriško, Notranjsko in Snežniško hribovje"
2308,Štanjel (Sveti Danijel),553,30,"Goriško, Notranjsko in Snežniško hribovje"
1422,Lešenjak,552,40,"Goriško, Notranjsko in Snežniško hribovje"
1744,Volnik,546,75,"Goriško, Notranjsko in Snežniško hribovje"
2538,Sekirica,545,22,"Goriško, Notranjsko in Snežniško hribovje"
3322,Griček,532,1,"Goriško, Notranjsko in Snežniško hribovje"
3242,Sveti Ambrož (Tabor),531,7,"Goriško, Notranjsko in Snežniško hribovje"
2743,Štivanski log,530,16,"Goriško, Notranjsko in Snežniško hribovje"
1674,Petelinjsko jezero,530,48,"Goriško, Notranjsko in Snežniško hribovje"
3228,Plaz,528,13,"Goriško, Notranjsko in Snežniško hribovje"
2610,Veliki hrib (kota 526),526,20,"Goriško, Notranjsko in Snežniško hribovje"
1669,Kuren (Sveti Miklavž),526,45,"Goriško, Notranjsko in Snežniško hribovje"
834,Školj sv. Pavla nad Vrtovinom,520,56,"Goriško, Notranjsko in Snežniško hribovje"
1199,Planinski dom v Novem Svetu,518,50,"Goriško, Notranjsko in Snežniško hribovje"
2558,Rakov Škocjan,517,27,"Goriško, Notranjsko in Snežniško hribovje"
2946,Gura,510,17,"Goriško, Notranjsko in Snežniško hribovje"
1716,Veliki Gradež,507,50,"Goriško, Notranjsko in Snežniško hribovje"
1421,Vrtovka,502,39,"Goriško, Notranjsko in Snežniško hribovje"
3231,Skrivski izvir,500,8,"Goriško, Notranjsko in Snežniško hribovje"
1222,Planinska jama,500,56,"Goriško, Notranjsko in Snežniško hribovje"
1717,Tri učke,499,54,"Goriško, Notranjsko in Snežniško hribovje"
1715,Kuk,498,64,"Goriško, Notranjsko in Snežniško hribovje"
527,Sveta Ana,484,93,"Goriško, Notranjsko in Snežniško hribovje"
3262,Klada,475,5,"Goriško, Notranjsko in Snežniško hribovje"
2916,Marija Snežna na Gradišcah,467,17,"Goriško, Notranjsko in Snežniško hribovje"
1419,Veliki vrh (Črni hribi),463,42,"Goriško, Notranjsko in Snežniško hribovje"
1756,Mengore,453,78,"Goriško, Notranjsko in Snežniško hribovje"
1705,Lačna,451,72,"Goriško, Notranjsko in Snežniško hribovje"
1707,Zjat,449,52,"Goriško, Notranjsko in Snežniško hribovje"
1420,Renški vrh,449,46,"Goriško, Notranjsko in Snežniško hribovje"
2149,Vitovsko jezero,445,50,"Goriško, Notranjsko in Snežniško hribovje"
399,Soteska Pekel 3. slap,445,56,"Goriško, Notranjsko in Snežniško hribovje"
1813,Sveti Jožef (Mlečnik),441,45,"Goriško, Notranjsko in Snežniško hribovje"
862,Sveti Miklavž nad Vipavo,438,63,"Goriško, Notranjsko in Snežniško hribovje"
844,Grad Socerb,437,89,"Goriško, Notranjsko in Snežniško hribovje"
1418,Fajti hrib,433,67,"Goriško, Notranjsko in Snežniško hribovje"
1143,Sveti Gregor na Dobravici,432,45,"Goriško, Notranjsko in Snežniško hribovje"
2657,Črnokalska Varda,423,21,"Goriško, Notranjsko in Snežniško hribovje"
2092,Ostri Vrh nad Vipavsko dolino,422,49,"Goriško, Notranjsko in Snežniško hribovje"
2399,Jama Vilenica,420,25,"Goriško, Notranjsko in Snežniško hribovje"
751,Iški Vintgar (Vrbica),420,75,"Goriško, Notranjsko in Snežniško hribovje"
2064,Žalostna gora pri Preserju,418,58,"Goriško, Notranjsko in Snežniško hribovje"
1714,Krog,418,41,"Goriško, Notranjsko in Snežniško hribovje"
1713,Vrh križa,411,44,"Goriško, Notranjsko in Snežniško hribovje"
1151,Sveti Rupert nad Drago,409,45,"Goriško, Notranjsko in Snežniško hribovje"
1718,Sveti Kvirik,408,63,"Goriško, Notranjsko in Snežniško hribovje"
3328,Grad Kostel,406,3,"Goriško, Notranjsko in Snežniško hribovje"
903,Izvir Nežice,390,55,"Goriško, Notranjsko in Snežniško hribovje"
2488,Prižnica,383,24,"Goriško, Notranjsko in Snežniško hribovje"
845,Tinjan,374,87,"Goriško, Notranjsko in Snežniško hribovje"
2939,Udornica Risnik,366,16,"Goriško, Notranjsko in Snežniško hribovje"
2148,Sveti Duh (Pedrovo),365,42,"Goriško, Notranjsko in Snežniško hribovje"
2940,Pomjan,360,24,"Goriško, Notranjsko in Snežniško hribovje"
2334,Dom v Iškem Vintgarju,360,50,"Goriško, Notranjsko in Snežniško hribovje"
1719,Orlovo gnezdo (Veli Badin),359,79,"Goriško, Notranjsko in Snežniško hribovje"
828,Divje jezero,350,70,"Goriško, Notranjsko in Snežniško hribovje"
1417,Veliko Cerje,343,62,"Goriško, Notranjsko in Snežniško hribovje"
1907,Sveti Lovrenc (Jezero),329,62,"Goriško, Notranjsko in Snežniško hribovje"
2489,Sveti Kvirin na Paljevem,321,20,"Goriško, Notranjsko in Snežniško hribovje"
1752,Dolina reke Glinščice / Val Rosandra,320,92,"Goriško, Notranjsko in Snežniško hribovje"
2709,Dolina Drage,310,20,"Goriško, Notranjsko in Snežniško hribovje"
1470,Izvir Ljubljanice (Retovje),308,66,"Goriško, Notranjsko in Snežniško hribovje"
1469,Izvir Ljubljanice (Močilnik),305,63,"Goriško, Notranjsko in Snežniško hribovje"
2944,Lopar,303,13,"Goriško, Notranjsko in Snežniško hribovje"
3241,Jama Pečinka,295,6,"Goriško, Notranjsko in Snežniško hribovje"
2290,Iški morost,289,50,"Goriško, Notranjsko in Snežniško hribovje"
2912,Marezige,284,22,"Goriško, Notranjsko in Snežniško hribovje"
2446,Sveti Duh (Sveti Peter),253,24,"Goriško, Notranjsko in Snežniško hribovje"
1706,Sveti Štefan (Zanigrad),246,52,"Goriško, Notranjsko in Snežniško hribovje"
1206,Stari grad Vipava,241,60,"Goriško, Notranjsko in Snežniško hribovje"
2910,Lovsko zavetišče Kolombar,218,12,"Goriško, Notranjsko in Snežniško hribovje"
2909,Goli hrib,217,17,"Goriško, Notranjsko in Snežniško hribovje"
2915,Črni vrh (Iskra),119,16,"Goriško, Notranjsko in Snežniško hribovje"
2907,Jurjev hrib,109,16,"Goriško, Notranjsko in Snežniško hribovje"
2908,Slap potoka Struga,105,18,"Goriško, Notranjsko in Snežniško hribovje"
2913,Vanganelsko jezero,55,20,"Goriško, Notranjsko in Snežniško hribovje"
2941,Strunjanski križ,53,29,"Goriško, Notranjsko in Snežniško hribovje"
2945,Debeli rtič,28,23,"Goriško, Notranjsko in Snežniško hribovje"
891,Ankaran,18,80,"Goriško, Notranjsko in Snežniško hribovje"
3115,Strunjanske soline,2,23,"Goriško, Notranjsko in Snežniško hribovje"
